district,location,rooms,area,floor,total_floors,price
xetai,ehmedli,2,72,5,10,198000
xetai,ag seher,4,141,4,11,568000
xetai,ehmedli,3,112,5,11,196000
xetai,ag seher,4,149,7,18,712000
xetai,ehmedli,3,139,8,9,325000
xetai,kohne gunesli,2,64,8,9,118000
xetai,ag seher,2,57,6,11,230000
xetai,ag seher,3,128,4,8,732000
xetai,kohne gunesli,3,74,1,12,153000
xetai,kohne gunesli,4,116,5,5,266000
xetai,ehmedli,3,123,1,10,301000
xetai,ehmedli,3,120,7,10,329000
xetai,ag seher,4,141,1,7,499000
xetai,ag seher,4,151,4,7,702000
xetai,ehmedli,2,74,4,9,160000
xetai,ag seher,3,121,2,9,517000
xetai,ag seher,5,182,10,16,768000
xetai,ehmedli,3,89,5,11,187000
xetai,ag seher,4,171,16,17,813500
xetai,ehmedli,3,127,4,14,287000
xetai,ehmedli,4,146,1,9,373000
xetai,ehmedli,3,101,17,17,256000
xetai,kohne gunesli,3,79,6,7,207000
xetai,ag seher,5,204,4,6,1050000
xetai,ag seher,3,123,18,18,722000
xetai,kohne gunesli,3,70,2,16,154000
xetai,kohne gunesli,3,94,10,12,232000
xetai,ag seher,3,134,13,20,795000
xetai,ag seher,2,63,5,17,285000
xetai,ag seher,4,166,7,20,642000
xetai,ehmedli,3,133,8,11,317000
xetai,ehmedli,4,141,1,9,319000
xetai,ag seher,3,132,4,8,591000
xetai,ehmedli,4,149,7,17,350000
xetai,ehmedli,3,98,13,17,249000
xetai,ag seher,3,121,6,9,470000
xetai,ag seher,2,55,8,17,306000
xetai,kohne gunesli,3,87,5,9,210000
xetai,ehmedli,3,77,9,10,180000
xetai,ehmedli,3,78,6,16,219000
xetai,ag seher,4,158,14,19,1050000
xetai,kohne gunesli,3,80,3,16,163000
xetai,ehmedli,2,68,7,11,145000
xetai,ag seher,4,161,5,18,786000
xetai,kohne gunesli,4,114,1,5,222000
xetai,ag seher,4,180,2,9,985000
xetai,ag seher,3,112,2,16,480000
xetai,kohne gunesli,2,57,9,9,122000
xetai,ag seher,3,119,3,7,619000
xetai,ehmedli,3,114,11,14,284500
xetai,ag seher,4,155,6,16,472000
xetai,kohne gunesli,3,81,2,16,188000
xetai,ehmedli,3,106,8,10,262000
xetai,kohne gunesli,3,66,4,5,139000
xetai,ehmedli,3,87,11,14,138000
xetai,ag seher,3,111,14,17,418000
xetai,kohne gunesli,4,119,4,9,266000
xetai,ag seher,5,200,7,16,1050000
xetai,ehmedli,2,62,13,16,157000
xetai,ehmedli,3,92,12,17,194000
xetai,ehmedli,3,95,7,10,183000
xetai,ag seher,4,147,4,18,537000
xetai,ag seher,3,116,20,20,477000
xetai,kohne gunesli,2,60,8,9,120000
xetai,kohne gunesli,2,61,8,12,107000
xetai,ehmedli,2,63,1,16,167000
xetai,ehmedli,3,108,9,14,328000
xetai,ehmedli,4,172,11,15,376000
xetai,ehmedli,3,121,4,11,367000
xetai,ag seher,2,56,2,9,238000
xetai,ag seher,3,150,7,17,764000
xetai,ag seher,3,105,15,18,462000
xetai,ehmedli,3,79,6,11,184000
xetai,kohne gunesli,2,63,4,9,135000
xetai,kohne gunesli,3,74,6,16,173000
xetai,ag seher,4,157,6,7,850000
xetai,ag seher,4,157,14,18,735500
xetai,ehmedli,3,143,6,11,417000
xetai,kohne gunesli,3,68,1,12,149000
xetai,kohne gunesli,3,70,9,9,159000
xetai,ehmedli,3,122,2,16,294000
xetai,ehmedli,3,100,2,16,212000
xetai,ag seher,3,118,11,11,590000
xetai,ehmedli,2,58,4,17,125000
xetai,ag seher,3,132,8,8,503000
xetai,kohne gunesli,3,75,15,16,118000
xetai,ag seher,2,57,9,19,293000
xetai,kohne gunesli,3,82,2,16,169000
xetai,ag seher,4,145,6,7,691000
xetai,ehmedli,3,75,16,17,186000
xetai,ag seher,4,163,4,9,876000
xetai,ag seher,3,132,4,9,624000
xetai,ehmedli,4,164,2,11,430000
xetai,ag seher,2,62,13,19,283000
xetai,ehmedli,3,70,12,14,166000
xetai,ag seher,4,160,15,17,655000
xetai,ag seher,4,168,2,16,652500
xetai,ehmedli,2,72,6,15,191000
xetai,ehmedli,2,81,2,14,168000
xetai,ag seher,3,138,5,20,747000
xetai,ehmedli,3,101,5,9,202000
xetai,ehmedli,3,100,2,14,270000
xetai,kohne gunesli,3,77,3,7,193000
xetai,kohne gunesli,4,107,1,9,271000
xetai,kohne gunesli,3,70,3,5,169000
xetai,ag seher,4,153,7,8,1021000
xetai,ag seher,4,132,12,20,798000
xetai,ag seher,2,64,6,17,303000
xetai,kohne gunesli,3,74,5,16,186000
xetai,kohne gunesli,3,79,15,16,138000
xetai,ehmedli,2,71,9,15,169000
xetai,ag seher,3,121,16,17,451000
xetai,ehmedli,3,80,7,11,175000
xetai,ag seher,4,169,19,20,728000
xetai,kohne gunesli,2,64,5,5,140000
xetai,kohne gunesli,3,94,4,16,214000
xetai,ag seher,3,142,11,18,672000
xetai,ehmedli,3,102,4,11,229000
xetai,kohne gunesli,3,76,4,7,175000
xetai,ehmedli,4,164,5,11,403000
xetai,ehmedli,3,84,9,16,196000
xetai,ehmedli,3,83,1,14,189000
xetai,ehmedli,2,69,1,14,148000
xetai,kohne gunesli,3,80,1,7,147000
xetai,ag seher,3,123,15,16,638000
xetai,kohne gunesli,2,52,2,9,115000
xetai,ehmedli,3,110,10,11,301000
xetai,ehmedli,3,116,7,9,362000
xetai,ehmedli,4,166,8,11,430000
xetai,ehmedli,3,141,8,15,392000
xetai,ehmedli,3,120,6,11,308000
xetai,ehmedli,3,128,7,9,342000
xetai,kohne gunesli,3,63,7,12,130000
xetai,ehmedli,2,85,13,15,141500
xetai,ag seher,2,67,1,11,239000
xetai,ag seher,3,127,2,6,627000
xetai,ehmedli,4,169,5,17,359000
xetai,ehmedli,3,92,7,11,220000
xetai,kohne gunesli,2,65,2,5,151000
xetai,ehmedli,3,119,2,16,269000
xetai,ehmedli,3,123,1,9,194000
xetai,ehmedli,2,76,4,15,217000
xetai,ag seher,4,128,5,20,501000
xetai,ehmedli,3,86,1,10,177000
xetai,ehmedli,4,159,10,10,333000
xetai,ag seher,4,152,6,9,778000
xetai,ag seher,3,127,19,20,600000
xetai,ehmedli,3,88,16,17,177500
xetai,ehmedli,3,82,4,14,171000
xetai,ag seher,4,144,14,17,825000
xetai,ag seher,4,160,11,16,614000
xetai,kohne gunesli,3,68,1,5,123000
xetai,ehmedli,3,76,5,16,138000
xetai,ehmedli,3,109,11,11,216000
xetai,kohne gunesli,3,74,1,16,181000
xetai,kohne gunesli,2,58,2,5,118500
xetai,ehmedli,2,63,11,14,139000
xetai,ehmedli,3,122,12,17,329000
xetai,ehmedli,3,117,5,11,284000
xetai,ehmedli,4,144,15,15,406000
xetai,ehmedli,2,72,5,17,157000
xetai,ehmedli,2,61,8,11,142000
xetai,kohne gunesli,2,61,6,9,136000
xetai,kohne gunesli,3,67,14,16,122000
xetai,ehmedli,2,71,5,10,132000
xetai,ag seher,4,163,17,19,626000
xetai,kohne gunesli,3,77,4,5,156000
xetai,ag seher,4,181,6,7,1020000
xetai,ehmedli,3,114,9,10,333000
xetai,ehmedli,3,122,1,10,297000
xetai,ag seher,3,143,3,7,627000
xetai,ag seher,3,120,10,11,525500
xetai,ehmedli,3,126,12,14,322000
xetai,kohne gunesli,3,77,8,16,172000
xetai,ehmedli,3,96,3,17,257500
xetai,ehmedli,3,78,1,15,176000
xetai,ehmedli,3,95,13,16,238000
xetai,kohne gunesli,3,70,1,12,151000
xetai,kohne gunesli,2,71,6,9,117000
xetai,ag seher,2,61,6,17,230000
xetai,ag seher,4,176,2,18,1000000
xetai,kohne gunesli,3,76,3,5,206000
xetai,kohne gunesli,3,67,4,16,157000
xetai,kohne gunesli,3,73,1,9,155500
xetai,ag seher,4,163,5,19,983000
xetai,kohne gunesli,2,53,3,5,105000
xetai,kohne gunesli,2,70,6,9,130000
xetai,ag seher,3,100,12,18,587000
xetai,ag seher,3,131,6,7,509000
xetai,ag seher,4,158,3,7,961000
xetai,kohne gunesli,4,104,5,5,195500
xetai,ehmedli,4,147,10,15,354000
xetai,kohne gunesli,3,71,1,5,176000
xetai,ag seher,3,107,2,7,609000
xetai,ag seher,3,110,1,7,372000
xetai,kohne gunesli,2,54,7,7,105000
xetai,kohne gunesli,4,117,7,9,275000
xetai,ehmedli,3,82,4,16,220000
xetai,kohne gunesli,3,81,8,16,183000
xetai,ehmedli,3,110,5,15,255000
xetai,ehmedli,2,78,5,10,158000
xetai,kohne gunesli,3,89,11,16,187000
xetai,ehmedli,3,88,15,16,230000
xetai,ehmedli,3,102,1,15,196000
xetai,ehmedli,3,76,3,10,197000
xetai,ehmedli,3,90,12,15,231000
xetai,ag seher,3,133,1,7,504000
xetai,kohne gunesli,3,73,6,16,122000
xezer,buzovna,1,48,1,3,75000
xezer,buzovna,5,115,4,5,143000
xezer,bine,2,64,1,2,101500
xezer,bine,3,77,1,2,113500
xezer,bine,2,75,1,4,81500
xezer,bine,4,123,1,4,185500
xezer,buzovna,5,134,3,3,225500
xezer,buzovna,4,131,3,3,160000
xezer,buzovna,4,100,1,3,150000
xezer,buzovna,4,105,3,4,176500
xezer,bine,4,126,1,2,162000
xezer,bine,3,95,3,3,95000
xezer,bine,1,45,3,5,39000
xezer,merdekan,3,110,2,4,230500
xezer,bine,4,114,2,3,124500
xezer,merdekan,3,112,4,5,219500
xezer,bine,5,118,1,5,158500
xezer,merdekan,2,55,4,5,81000
xezer,bine,3,89,1,4,108500
xezer,buzovna,3,92,3,5,123500
xezer,buzovna,3,91,2,5,129000
xezer,merdekan,2,85,5,5,107000
xezer,bine,2,75,2,2,73000
xezer,bine,3,79,1,3,74500
xezer,bine,3,64,1,3,98000
xezer,merdekan,2,78,4,5,125500
xezer,merdekan,3,110,4,4,237500
xezer,bine,4,113,1,2,114500
xezer,bine,3,74,1,3,61000
xezer,bine,4,140,1,4,178500
xezer,bine,3,94,3,3,151000
xezer,bine,3,86,1,3,98500
xezer,bine,3,63,1,2,79000
xezer,merdekan,2,57,3,3,79000
xezer,buzovna,2,62,2,3,118500
xezer,bine,3,94,1,2,135500
xezer,bine,3,73,1,5,84500
xezer,bine,3,89,4,4,133500
xezer,bine,2,75,1,2,102000
xezer,bine,3,92,1,3,152000
xezer,bine,2,64,1,2,63500
xezer,merdekan,3,102,1,5,178500
xezer,bine,3,93,3,4,105500
xezer,bine,3,79,3,5,105000
xezer,bine,3,66,1,2,81500
xezer,bine,2,47,2,3,44500
xezer,buzovna,3,94,5,5,143000
xezer,merdekan,2,87,1,3,113500
xezer,merdekan,4,104,3,4,200500
xezer,merdekan,2,85,4,4,161000
xezer,merdekan,2,85,3,4,86500
xezer,bine,2,53,3,3,72000
xezer,buzovna,2,85,2,5,112500
xezer,merdekan,3,74,2,4,94500
xezer,bine,4,140,2,2,156000
xezer,buzovna,3,110,2,4,192500
xezer,merdekan,5,142,1,4,250000
xezer,merdekan,4,121,2,5,187000
xezer,merdekan,2,47,2,4,95500
xezer,merdekan,2,59,1,3,98500
xezer,bine,2,47,3,4,76500
xezer,bine,5,144,1,4,159000
xezer,bine,5,126,1,2,184500
xezer,bine,4,112,2,2,162500
xezer,bine,4,85,2,3,94500
xezer,merdekan,5,160,1,5,300000
xezer,bine,2,58,4,4,76500
xezer,buzovna,2,76,2,4,136000
xezer,bine,3,60,3,4,77000
xezer,merdekan,3,85,4,4,167500
xezer,bine,3,70,2,2,91500
xezer,bine,5,125,2,4,186000
xezer,bine,1,50,2,2,50500
xezer,merdekan,3,90,1,3,197500
xezer,bine,4,134,2,2,145000
xezer,merdekan,3,94,3,3,176000
xezer,bine,2,59,4,4,89000
xezer,buzovna,5,138,3,3,260000
xezer,buzovna,4,135,4,4,219500
xezer,bine,2,54,2,3,64500
xezer,merdekan,2,54,2,3,90000
xezer,merdekan,2,71,4,4,96000
xezer,bine,3,61,4,5,66000
xezer,bine,3,86,2,3,96000
xezer,buzovna,1,50,4,5,75000
xezer,merdekan,4,134,1,5,251500
xezer,buzovna,1,60,2,4,108000
xezer,bine,2,55,2,3,66500
xezer,merdekan,3,113,3,4,165000
xezer,bine,3,82,3,3,68000
xezer,merdekan,5,145,3,3,218000
xezer,bine,3,73,3,5,109000
xezer,bine,3,67,2,3,54500
xezer,merdekan,3,89,2,4,137500
xezer,buzovna,3,81,3,5,160500
xezer,merdekan,4,131,2,3,260500
xezer,buzovna,2,75,1,4,131000
xezer,merdekan,2,68,4,5,119500
xezer,buzovna,4,136,4,4,222000
xezer,merdekan,3,85,1,3,166500
xezer,buzovna,4,131,4,5,182000
xezer,buzovna,2,70,2,3,112500
xezer,bine,4,129,1,4,161500
xezer,bine,4,116,3,3,161500
xezer,buzovna,1,49,2,3,75000
xezer,bine,3,90,4,4,127000
xezer,bine,3,79,2,4,78500
xezer,bine,4,133,1,3,164000
xezer,bine,3,93,1,4,126500
xezer,bine,3,79,1,2,73500
xezer,merdekan,3,109,3,3,234500
xezer,bine,1,44,4,5,55000
xezer,bine,1,50,1,2,69500
xezer,bine,3,63,1,3,90500
xezer,bine,2,62,5,5,74000
xezer,merdekan,3,93,4,4,161500
xezer,buzovna,3,81,3,3,108500
xezer,buzovna,2,60,1,5,75000
xezer,bine,3,90,1,4,100000
xezer,merdekan,4,124,3,3,190500
xezer,merdekan,3,107,2,3,165000
xezer,bine,2,53,1,3,44500
xezer,merdekan,3,101,4,4,149000
xezer,buzovna,4,112,5,5,186000
xezer,bine,1,48,3,4,35000
xezer,bine,3,61,1,4,77500
xezer,buzovna,4,112,3,3,195000
xezer,merdekan,5,180,4,4,300000
xezer,buzovna,4,116,4,4,194000
xezer,merdekan,4,130,2,3,187000
xezer,bine,2,69,5,5,76500
xezer,buzovna,3,101,1,3,159500
xezer,buzovna,3,103,1,3,161000
xezer,bine,2,73,1,5,67500
xezer,merdekan,2,45,4,5,75000
xezer,merdekan,4,124,3,3,195000
xezer,merdekan,2,90,4,4,161500
xezer,bine,3,84,3,3,95500
xezer,merdekan,2,71,3,4,82500
xezer,merdekan,4,132,4,5,207500
xezer,buzovna,3,110,4,5,170500
xezer,merdekan,5,150,4,5,285000
xezer,merdekan,2,75,4,5,142500
xezer,merdekan,3,74,1,4,112000
xezer,merdekan,2,51,1,4,123000
xezer,buzovna,4,121,2,5,178000
xezer,merdekan,2,84,4,5,143000
xezer,merdekan,4,149,4,5,274000
xezer,merdekan,4,150,1,5,283000
xezer,bine,3,78,3,3,90500
xezer,merdekan,4,140,2,3,239000
xezer,bine,1,45,2,2,55500
xezer,buzovna,2,68,2,5,82000
xezer,bine,4,124,2,3,182000
xezer,bine,3,89,1,4,141500
xezer,merdekan,3,75,2,3,138500
xezer,bine,5,154,4,4,220000
xezer,bine,3,90,1,2,111500
xezer,buzovna,5,128,3,3,200500
xezer,bine,4,134,2,2,197000
xezer,merdekan,2,67,3,3,110500
xezer,bine,4,134,3,3,127000
xezer,bine,3,83,1,3,122500
xezer,bine,3,72,3,3,109500
xezer,buzovna,5,163,2,3,260000
xezer,merdekan,2,66,2,3,75000
xezer,merdekan,2,88,4,5,161000
xezer,bine,3,76,2,2,88000
xezer,buzovna,4,118,3,3,181000
xezer,bine,4,120,2,4,153000
xezer,buzovna,3,94,4,5,116500
xezer,bine,1,50,1,2,68500
xezer,bine,3,94,5,5,121000
xezer,merdekan,3,96,4,5,132000
xezer,buzovna,2,69,2,3,93000
xezer,buzovna,5,132,2,3,196500
xezer,merdekan,5,178,3,3,300000
xezer,buzovna,5,113,2,4,181500
xezer,bine,4,120,3,3,132500
xezer,bine,2,73,2,2,92500
xezer,merdekan,3,76,3,3,82500
xezer,bine,4,100,1,4,110000
xezer,bine,4,118,1,2,161500
xezer,merdekan,3,71,2,4,116500
xezer,merdekan,4,137,3,5,275500
xezer,merdekan,2,75,4,4,126500
xezer,buzovna,5,114,2,3,187500
xezer,bine,2,65,4,4,98000
xezer,bine,3,87,1,2,120500
xezer,buzovna,5,136,4,4,222500
xezer,merdekan,2,65,3,5,91000
xezer,buzovna,3,80,1,3,105500
xezer,merdekan,3,73,1,5,149500
xezer,buzovna,4,121,4,4,199500
xezer,merdekan,3,87,3,3,147000
xezer,bine,3,66,3,4,70000
xezer,buzovna,4,130,5,5,241000
xezer,buzovna,3,92,1,3,130000
xezer,merdekan,2,56,3,3,106000
xezer,bine,4,86,1,2,114000
xezer,buzovna,2,64,3,5,122000
xezer,buzovna,5,119,3,3,150000
xezer,bine,3,91,4,5,100000
xezer,merdekan,2,72,2,3,160000
xezer,buzovna,3,94,1,3,158000
xezer,bine,2,75,1,3,99000
xezer,bine,2,60,2,5,69000
xezer,buzovna,2,72,3,5,98000
xezer,merdekan,2,46,1,4,82000
xezer,buzovna,3,101,1,4,131000
xezer,merdekan,2,84,3,4,117000
xezer,merdekan,2,82,1,4,166000
xezer,bine,2,55,1,3,55500
xezer,buzovna,2,79,3,4,150500
xezer,merdekan,2,54,2,4,90500
xezer,bine,4,89,3,3,126500
xezer,merdekan,4,123,5,5,268000
xezer,merdekan,2,85,2,4,125500
xezer,buzovna,4,145,1,4,232000
xezer,bine,3,62,2,2,88500
xezer,bine,4,139,2,2,160000
xezer,buzovna,4,136,2,3,239500
xezer,buzovna,5,138,2,3,233500
xezer,buzovna,2,62,4,5,105000
xezer,buzovna,2,66,4,4,96000
xezer,buzovna,2,75,3,5,97500
xezer,bine,3,78,2,4,79000
xezer,buzovna,2,66,4,4,103500
xezer,merdekan,2,80,3,4,130000
xezer,merdekan,5,187,3,3,300000
xezer,buzovna,1,49,1,3,77000
xezer,bine,5,119,2,2,169500
xezer,buzovna,3,108,3,3,176500
xezer,bine,3,70,3,3,89500
xezer,merdekan,2,68,2,5,131000
xezer,bine,4,113,3,3,131000
xezer,merdekan,4,148,2,3,300000
xezer,merdekan,3,83,4,4,149000
xezer,bine,3,76,2,2,115500
xezer,buzovna,2,82,1,5,97500
xezer,merdekan,2,77,2,3,138500
xezer,bine,3,82,2,2,90500
xezer,buzovna,2,57,2,4,75000
xezer,merdekan,4,136,2,4,185000
xezer,bine,4,129,3,3,175000
xezer,buzovna,5,111,2,4,196500
xezer,buzovna,4,128,1,4,221500
xezer,bine,2,52,5,5,47500
xezer,bine,4,123,1,2,164000
xezer,bine,1,46,3,3,45500
qaradag,lokbatan,2,68,8,8,122500
qaradag,lokbatan,2,66,8,9,71000
qaradag,lokbatan,3,66,12,16,131000
qaradag,musfiqabad,5,106,1,9,137000
qaradag,musfiqabad,4,80,6,6,117500
qaradag,sahil,4,94,1,3,151000
qaradag,musfiqabad,4,90,2,7,128500
qaradag,lokbatan,3,70,3,9,120000
qaradag,lokbatan,3,96,6,10,146000
qaradag,lokbatan,1,43,14,15,65000
qaradag,lokbatan,1,54,3,18,69000
qaradag,sahil,3,95,7,7,169500
qaradag,lokbatan,2,65,1,4,84000
qaradag,musfiqabad,3,63,4,8,65000
qaradag,lokbatan,1,39,3,9,65000
qaradag,musfiqabad,3,83,6,7,125000
qaradag,lokbatan,5,113,5,7,184500
qaradag,lokbatan,2,74,1,5,143500
qaradag,lokbatan,2,56,8,12,79000
qaradag,lokbatan,2,62,8,8,99000
qaradag,musfiqabad,3,75,1,5,87500
qaradag,musfiqabad,3,81,1,7,129000
qaradag,lokbatan,3,89,15,17,132000
qaradag,lokbatan,3,72,3,4,106500
qaradag,musfiqabad,4,95,1,3,128500
qaradag,lokbatan,3,88,1,3,157500
qaradag,musfiqabad,2,65,8,9,97500
qaradag,musfiqabad,2,68,1,4,82500
qaradag,sahil,3,94,4,9,146500
qaradag,lokbatan,3,96,3,9,150000
qaradag,musfiqabad,2,51,3,4,81500
qaradag,lokbatan,2,70,12,15,92500
qaradag,musfiqabad,4,87,1,8,92500
qaradag,lokbatan,1,40,3,10,65000
qaradag,sahil,3,73,10,14,139500
qaradag,lokbatan,2,54,6,15,89000
qaradag,sahil,3,75,5,7,94000
qaradag,lokbatan,3,92,6,17,107500
qaradag,musfiqabad,5,96,2,9,107000
qaradag,lokbatan,2,74,10,11,118000
qaradag,lokbatan,2,78,10,13,139500
qaradag,lokbatan,5,137,2,13,197500
qaradag,sahil,4,89,1,14,142500
qaradag,sahil,4,119,5,12,180000
qaradag,lokbatan,2,76,2,4,129500
qaradag,musfiqabad,5,110,7,8,160000
qaradag,sahil,1,45,5,7,87500
qaradag,lokbatan,3,97,10,12,158000
qaradag,lokbatan,1,47,6,6,81000
qaradag,lokbatan,3,93,2,6,151000
qaradag,lokbatan,2,56,9,14,105500
qaradag,sahil,2,61,6,13,99500
qaradag,lokbatan,3,67,12,16,117500
qaradag,lokbatan,3,95,6,14,158500
qaradag,lokbatan,3,75,3,8,115500
qaradag,musfiqabad,5,124,5,6,159000
qaradag,lokbatan,1,30,6,8,65000
qaradag,lokbatan,2,58,2,6,107500
qaradag,sahil,2,65,11,14,124500
qaradag,musfiqabad,4,97,1,7,148500
qaradag,lokbatan,2,62,3,8,114000
qaradag,sahil,2,65,4,4,102500
qaradag,lokbatan,3,90,11,17,156500
qaradag,sahil,2,70,3,4,83500
qaradag,lokbatan,4,115,11,18,230000
qaradag,musfiqabad,4,77,4,8,125500
qaradag,musfiqabad,3,65,9,9,74000
qaradag,lokbatan,2,69,4,5,124500
qaradag,sahil,4,82,1,7,136000
qaradag,sahil,3,61,12,13,70000
qaradag,lokbatan,2,53,1,8,79500
qaradag,musfiqabad,3,71,5,5,72000
qaradag,sahil,2,69,5,6,103500
qaradag,lokbatan,3,72,17,18,96500
qaradag,sahil,2,51,4,9,70000
qaradag,sahil,3,89,3,5,144000
qaradag,lokbatan,4,114,1,3,168500
qaradag,musfiqabad,3,85,4,8,91000
qaradag,musfiqabad,3,80,8,9,96000
qaradag,lokbatan,1,31,11,11,65000
qaradag,sahil,3,71,2,4,109500
qaradag,sahil,1,48,2,3,80000
qaradag,musfiqabad,3,77,1,8,118000
qaradag,sahil,2,75,3,11,87000
qaradag,sahil,4,90,3,13,146000
qaradag,musfiqabad,2,64,5,5,77000
qaradag,lokbatan,3,69,12,16,102000
qaradag,musfiqabad,1,47,3,3,60000
qaradag,musfiqabad,2,67,1,5,90000
qaradag,lokbatan,1,37,2,5,65000
qaradag,sahil,3,93,8,10,142000
qaradag,lokbatan,4,87,9,14,126000
qaradag,lokbatan,2,59,1,3,65000
qaradag,musfiqabad,2,57,4,7,89500
qaradag,lokbatan,3,78,1,9,129500
qaradag,lokbatan,3,87,16,17,155000
qaradag,lokbatan,3,74,5,15,143500
qaradag,sahil,4,118,6,8,172500
qaradag,musfiqabad,3,77,3,3,106500
qaradag,sahil,3,81,1,9,118500
qaradag,lokbatan,3,72,2,3,133000
qaradag,lokbatan,4,99,7,8,150000
qaradag,lokbatan,1,55,14,14,92500
qaradag,musfiqabad,2,61,2,4,86500
qaradag,musfiqabad,2,49,4,7,60000
qaradag,lokbatan,2,59,1,7,101000
qaradag,lokbatan,2,58,11,18,110500
qaradag,sahil,3,76,1,3,125500
qaradag,musfiqabad,4,92,4,5,110000
qaradag,sahil,2,68,5,7,118000
qaradag,lokbatan,2,76,2,3,105000
qaradag,musfiqabad,2,65,1,3,90000
qaradag,musfiqabad,3,67,4,7,95500
qaradag,lokbatan,3,81,14,15,128000
qaradag,sahil,3,92,2,3,149000
qaradag,sahil,3,76,4,5,95500
qaradag,lokbatan,2,71,7,12,123500
qaradag,lokbatan,2,52,8,16,84000
qaradag,sahil,2,46,5,6,73000
qaradag,musfiqabad,1,44,1,5,60000
qaradag,sahil,2,74,3,7,146000
qaradag,sahil,4,94,5,5,169500
qaradag,sahil,2,73,3,11,106500
qaradag,lokbatan,3,88,1,9,122000
qaradag,lokbatan,2,55,9,13,71000
qaradag,musfiqabad,4,101,1,8,131500
qaradag,lokbatan,2,57,3,16,110000
qaradag,musfiqabad,3,76,4,6,107500
qaradag,lokbatan,1,55,3,5,68000
qaradag,sahil,2,60,14,14,97500
qaradag,sahil,3,73,4,9,97500
qaradag,sahil,2,65,11,14,96000
qaradag,lokbatan,3,71,2,4,121500
qaradag,sahil,3,64,2,14,79000
qaradag,musfiqabad,3,66,1,6,86500
qaradag,lokbatan,2,54,2,6,72000
qaradag,lokbatan,4,95,1,16,160500
qaradag,lokbatan,1,36,6,15,65000
qaradag,lokbatan,1,49,3,3,103500
qaradag,sahil,3,82,2,9,171500
qaradag,lokbatan,5,138,1,9,211500
qaradag,sahil,4,120,1,10,169000
qaradag,musfiqabad,5,110,2,4,160000
qaradag,lokbatan,5,115,7,8,167500
qaradag,sahil,3,75,3,8,95000
qaradag,musfiqabad,4,80,3,6,125500
qaradag,musfiqabad,4,114,1,8,132000
qaradag,sahil,3,60,13,13,90500
qaradag,lokbatan,2,50,6,8,94000
qaradag,musfiqabad,3,64,3,6,80000
nerimanov,boyuksor,2,91,7,14,353000
nerimanov,boyuksor,3,143,8,16,523500
nerimanov,boyuksor,4,167,7,15,641500
nerimanov,boyuksor,2,108,13,16,432000
nerimanov,boyuksor,3,168,6,18,698500
nerimanov,boyuksor,3,156,15,15,631500
nerimanov,boyuksor,2,83,14,18,240000
nerimanov,boyuksor,4,195,10,18,649500
nerimanov,boyuksor,4,217,11,19,770000
nerimanov,boyuksor,5,195,15,17,584000
nerimanov,boyuksor,2,112,7,16,403000
nerimanov,boyuksor,2,86,2,18,295000
nerimanov,boyuksor,4,209,1,14,626500
nerimanov,boyuksor,4,204,7,16,642500
nerimanov,boyuksor,4,223,4,15,775500
nerimanov,boyuksor,5,196,10,18,623500
nerimanov,boyuksor,4,162,3,12,483500
nerimanov,boyuksor,3,164,6,18,560000
nerimanov,boyuksor,4,220,16,17,713000
nerimanov,boyuksor,2,94,6,16,374500
nerimanov,boyuksor,3,135,12,13,537000
nerimanov,boyuksor,5,236,12,18,672000
nerimanov,boyuksor,2,99,4,13,377500
nerimanov,boyuksor,3,104,1,17,358500
nerimanov,boyuksor,4,221,9,13,654500
nerimanov,boyuksor,3,120,15,17,363000
nerimanov,boyuksor,3,109,11,12,435000
nerimanov,boyuksor,4,152,3,15,440000
nerimanov,boyuksor,4,143,7,18,516000
nerimanov,boyuksor,3,132,14,17,477000
nerimanov,boyuksor,5,243,5,15,655000
nerimanov,boyuksor,2,97,2,14,383000
nerimanov,boyuksor,2,109,11,19,435000
nerimanov,boyuksor,2,83,7,17,319500
nerimanov,boyuksor,3,112,3,14,387000
nerimanov,boyuksor,2,105,2,13,356500
nerimanov,boyuksor,2,104,16,17,301500
nerimanov,boyuksor,3,100,12,13,345500
nerimanov,boyuksor,3,141,10,13,514000
nerimanov,boyuksor,3,155,9,15,681500
nerimanov,boyuksor,3,95,6,13,375500
nerimanov,boyuksor,2,101,3,16,306500
nerimanov,boyuksor,3,144,12,16,490000
nerimanov,boyuksor,4,185,15,19,567500
nerimanov,boyuksor,4,144,5,13,486000
nerimanov,boyuksor,4,173,7,12,539500
nerimanov,boyuksor,3,131,15,15,517000
nerimanov,boyuksor,3,116,5,18,519500
nerimanov,boyuksor,3,119,10,18,391500
nerimanov,boyuksor,3,145,3,14,555000
nerimanov,boyuksor,3,170,8,13,699500
nerimanov,boyuksor,2,104,15,18,322000
nerimanov,boyuksor,3,166,12,15,655500
nerimanov,boyuksor,3,106,7,15,516000
nerimanov,boyuksor,3,90,9,13,415000
nerimanov,boyuksor,3,96,9,13,364000
nerimanov,boyuksor,4,190,15,15,587000
nerimanov,boyuksor,2,114,12,18,355000
nerimanov,boyuksor,4,199,16,19,638500
nerimanov,boyuksor,3,144,2,16,424500
nerimanov,boyuksor,3,105,6,19,454000
nerimanov,boyuksor,3,167,1,16,672500
nerimanov,boyuksor,5,220,2,18,610000
nerimanov,boyuksor,3,100,10,18,381500
nerimanov,boyuksor,2,82,1,19,240000
nerimanov,boyuksor,2,100,10,18,402000
